Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,405586592.2,487709497.2,596648044.7,695530726.3,764804469.3,872067039.1,958659217.9,1083240223,1245810056,1320670391,1379888268,1531843575,1665363128,1722905028,1873452514,1896456983,1961843575,2044111732,2254830726,2360017318,2469782682,2677641341,2843024581,2553793296,2453597207,2637859218,2615208380,2727849721,2790849721,2962907263,2983635196,3092429050,3276184358,3395798883,2558906304,3103184102,3544707788,
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,537777811.1,548888895.6,546666677.8,751111191.1,800000044.4,1006666638,1399999967,1673333418,1373333367,1408888922,1748886596,1831108971,1595555476,1733333264,2155555498,2366666616,2555555567,2953333418,3300000109,3697940410,3641723322,3478787909,,,,,,,,,,,,,,,,,,,,,3825701406,4520946849,5224896719,6203256497,6971758333,9747886105,10109296958,12416152648,15856668496,17805098367,19907329906,20146416876,20497128600,19134221745,18116572399,18753456507,18053222735,18799444415,19955929061,14266499430,,
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,5934073604,5553824464,5553824464,5787823809,6135166254,7558613008,7076793823,8089279285,8775116269,10207922517,11236275843,10401188707,8307826847,6084688936,4438321017,5538749260,6535434716,7675412601,6506381417,6152922942,9129594816,8936079251,15285592486,17812704627,23552057820,36970901024,52381025102,65266415707,88538664884,70307196474,83799473760,111790000000,128053000000,132339000000,135967000000,90496420626,52761617226,73690155047,79450688232,70897962713,48501561230,66505129989,106783000000,
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,1857337995,1897050117,2097326250,2080796250,2051236250,2253090000,2028553750,1099559028,652174990.8,1185315468,1880950864,2392764853,3199640815,2258513974,2545964541,3212121651,3480355258,3922100794,4348068242,5611496257,7184685782,8052077248,8896075005,10677324853,12881352894,12044205550,11926926616,12890760315,12319834195,12776224497,13228147516,11386853113,11861199831,13019726212,15156424015,15401826127,15162734205,17930565119,18916378861,
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,78617711.1,89406608.15,113414397.4,150841639.3,186557082,220112572.2,227283850.8,253997897.2,308020261.2,411548748.4,446377776.8,388983266.2,375914743.6,327850042.5,330073080.6,346742714.7,481996012.9,611299924.5,721425939.2,795489582,1028989692,1106891362,1209992020,1007090270,1017544069,1178745283,1224024139,1180645572,1211953994,1239840640,1429047882,1546912332,1755989354,2361636235,2895047587,3159826892,3456264325,3952395030,4085780203,3674190066,3449925694,3629133063,3188653259,3193513470,3271686452,2789882569,2896611879,3000160415,3218418632,3155150256,2891002460,3325143693,3352031094,
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,35102917960,38249920379,43245967541,49980195755,59593479017,75614829099,143722000000,158821000000,197694000000,228193000000,252397000000,341727000000,464923000000,480094000000,449527000000,423120000000,430640000000,424155000000,411513000000,445512000000,429626000000,460896000000,651232000000,480686000000,485481000000,499345000000,531889000000,564846000000,615168000000,662599000000,649475000000,717784000000,820574000000,803226000000,808316000000,894211000000,1063200000000,1304960000000,1546220000000,1798720000000,2264030000000,1987930000000,2346090000000,2567290000000,2802930000000,2860930000000,2907250000000,2555810000000,2539390000000,2639750000000,2845900000000,2871650000000,2535510000000,2930480000000,3543340000000,
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,14720728249,19213158779,24871775165,23775764225,31225659621,43599160050,49333424135,46622718605,42803323345,41807954236,40603650232,33943612095,36384908744,36275674203,41464995914,50701443748,51552165622,54239171888,55625170253,59305093980,65743666576,73571233996,78839008445,75674336283,84445473111,104337000000,103312000000,109816000000,124346000000,147824000000,180617000000,222117000000,257916000000,315475000000,253547000000,300189000000,360833000000,384610000000,400219000000,414105000000,370275000000,369255000000,390517000000,427049000000,417990000000,349473000000,415179000000,507064000000,
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,109490000000,112989000000,88416666667,106214000000,109029000000,126928000000,76629657864,141353000000,189720000000,228779000000,236742000000,257440000000,258032000000,272150000000,292859000000,298948000000,283523000000,284204000000,268697000000,97724004252,127587000000,164658000000,198737000000,232557000000,287531000000,361558000000,332976000000,423627000000,530158000000,545982000000,552025000000,526320000000,594749000000,557532000000,643628000000,524820000000,447755000000,385741000000,487903000000,631133000000,
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256863449,2069870130,1272835453,1201312829,1315158637,1468317435,1596968946,1639492445,1893726437,1845482173,1911563669,2118467913,2376335048,2807061009,3576615240,4900469511,6384452067,9206301270,11662040714,8647937081,9260285756,10142111825,10619320683,11121464437,11609513247,10553337518,10546136236,11527458709,12457940695,13619290539,12641698583,13878908629,19513474648,
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512000000,524000000,509000000,500000000,493000000,518000000,560000000,675000000,573000000,570000000,640000000,638000000,643000000,673000000,671000000,612000000,639000000,647000000,721000000,750000000,871000000,
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,77496753.7,87879341.48,109079978.9,131431026.7,147841734.4,164369278.9,182144093,208372846.3,240923924.8,290440140.7,337174861.9,398637727.8,438794788.5,459470370.4,481707407.4,499281481.5,535174074.1,589429629.6,577281481.5,633729629.6,680618518.5,727859259.3,766200000,826370370.4,800481481.5,814381481.5,856396296.3,919729629.6,1022962963,1157662963,1312759259,1370070370,1228329630,1148700000,1281337037,1327107407,1325425926,1378829630,1437755556,1489692593,1531151852,1661529630,1725351852,1410796296,1601366667,1867733333,
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,18606562977,19682883149,19922563188,21539843446,23801123808,25976164156,27307844369,30442724871,32714085234,36683365869,41333606613,45216647235,52040887850,63830877643,88963890936,97303017889,105059000000,110350000000,118492000000,134898000000,149986000000,176893000000,194038000000,177265000000,193519000000,180637000000,182476000000,189487000000,236154000000,299872000000,311421000000,325967000000,325518000000,312128000000,322802000000,368166000000,401342000000,435643000000,399674000000,389652000000,416168000000,379629000000,395789000000,467739000000,614660000000,695693000000,748418000000,855007000000,1056110000000,928762000000,1148890000000,1398700000000,1547650000000,1577300000000,1468600000000,1351770000000,1207580000000,1326880000000,1429730000000,1394670000000,1330380000000,1559030000000,1692960000000,
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,6592693841,7311749633,7756110210,8374175258,9169983886,9994070616,10887682273,11579431669,12440625313,13582798556,15373005557,17858486067,22059612477,29515467707,35189299912,40059206763,42959976222,51545758888,62052259073,73937296963,82058912997,71034228443,71275287570,72121016547,67985344887,69386774408,99036164939,124168000000,133339000000,133106000000,166463000000,173794000000,195078000000,190380000000,203535000000,241038000000,237251000000,212790000000,218260000000,217259000000,197290000000,197509000000,214395000000,262274000000,301458000000,316092000000,336280000000,389186000000,432052000000,401759000000,392275000000,431685000000,409402000000,430191000000,442585000000,381971000000,395837000000,417261000000,454991000000,444596000000,435049000000,479295000000,470942000000,
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8884848485,5344000000,444658671.6,1570392598,1193141110,2417331193,3176507376,3962362387,4446368571,4581248567,5272615723,5707616204,6236087738,7276413079,8680405741,13245421881,20981929498,33049419431,48851293785,44292427185,52909294792,65952796428,69679944504,74160560124,75239785452,53076235355,37866996883,40866627352,47112470052,48174235294,42693000000,54825411765,78721058824,
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,195999990,202999992,213500006,232749998,260750008,158994963,165444571.4,178297142.9,183200000,190205714.3,242732571.4,252842285.7,246804571.4,304339839.6,345263492.1,420986666.7,448412753.6,547535555.6,610225555.6,782496666.7,919726666.7,969046666.7,1013222222,1082926304,987143931.2,1149979286,1201725497,1131466494,1082403219,1113924130,1132101253,1167398478,1083037671,938632612,925030590.2,1000428394,869033856.3,972896267.9,893770740.2,808077223.4,870486065.9,876794723.1,825394519.4,784654423.6,915257323.4,1117113080,1273375078,1356199387,1611835857,1781455140,2032135192,2235820809,2333341334,2451606632,2705783330,3104003546,2644487777,2723586963,2667182200,2576518880,2649680261,2775798697,3338722828,
